input,output
0,0.20355953
1,0.40468296
1,0.562922119
0,0.353577187
0,0.191211819
0,0.098490555
1,0.349822206
1,0.535026489
1,0.639536322
0,0.394172776
0,0.211967311
0,0.10895984
1,0.355075157
1,0.537656626
0,0.340852122
1,0.484830823
1,0.605296364
0,0.375224372
0,0.202127424
0,0.10396676
0,0.052563989
1,0.326398117
1,0.523222283
1,0.633615786
0,0.391208822
0,0.210484597
0,0.108218336
1,0.354704375
1,0.537471229
1,0.640759423
1,0.694784473
1,0.722273189
1,0.736112785
1,0.743051631
1,0.746524863
0,0.448262241
0,0.239131082
1,0.422565534
0,0.271882765
0,0.148061382
0,0.076454691
1,0.338712146
1,0.529453033
1,0.636745908
1,0.692776833
1,0.721269192
1,0.735610751
0,0.442800607
0,0.23639935
0,0.121199484
1,0.361199704
1,0.540719844
1,0.642383921
0,0.39559676
0,0.21267934
1,0.409315862
1,0.565253169
1,0.654745632
1,0.701796626
1,0.725783075
0,0.43786849
0,0.233929635
0,0.119963896
1,0.360581764
0,0.240410845
1,0.432229415
0,0.278519506
1,0.451740713
1,0.588366548
1,0.666682513
1,0.707841104
1,0.728820522
1,0.739390255
1,0.744691126
1,0.747344763
0,0.448672221
0,0.239336079
0,0.122668033
0,0.061934015
1,0.331087007
0,0.225567504
0,0.124788552
1,0.364795236
1,0.54287781
1,0.643534943
0,0.396186679
0,0.212977181
1,0.409465359
0,0.265328033
0,0.144783087
1,0.374815358
1,0.547892442
1,0.646043173
0,0.397440977
1,0.513604367
0,0.319778959
1,0.472484835
0,0.298761488
0,0.161884558
0,0.083443042
0,0.042221674
1,0.321210867
1,0.52062544
1,0.632316721
0,0.390559161
0,0.21015974
0,0.108055902
1,0.354623158
1,0.53743062
0,0.340739118
1,0.484774321
1,0.605268113
0,0.375210247
0,0.202120362
1,0.403963228
1,0.562562224
1,0.653397234
0,0.401121841
0,0.215445566
0,0.110699712
1,0.355945242
0,0.238091698
0,0.131069664
0,0.067939595
1,0.33445075
0,0.227321566
0,0.125680021
1,0.365243858
1,0.543102699
1,0.643647503
0,0.396242982
1,0.513005337
1,0.619479438
1,0.682335073
0,0.415686607
0,0.222747118
1,0.414354322
1,0.567773313
1,0.656005887
1,0.70242679
0,0.426098164
0,0.228026036
0,0.117008409
1,0.359103283
0,0.239671457
0,0.131859692
1,0.368334638
1,0.544648278
0,0.344420331
1,0.486629404
0,0.306198549
1,0.465676044
0,0.295353376
1,0.460179759
1,0.592590494
1,0.66879537
0,0.408897709
0,0.21934886
0,0.112654431
1,0.356923216
1,0.538580808
1,0.641314244
0,0.39506189
1,0.512411899
1,0.61918214
1,0.682186308
0,0.415612202
1,0.52270991
0,0.324335717
0,0.174764011
1,0.389901236
1,0.555454464
1,0.649828001
1,0.699334154
0,0.424551108
0,0.22725236
0,0.116621541
1,0.358909843
0,0.239574736
0,0.131811331
1,0.368310458
0,0.244636188
0,0.134414285
1,0.369626381
1,0.545297038
0,0.344745289
1,0.486791998
0,0.30627987
0,0.165716709
0,0.085373709
1,0.343189926
1,0.531695577
1,0.637867911
0,0.39333798
1,0.511549795
0,0.318751059
1,0.471970761
0,0.298504427
0,0.161756023
1,0.383378773
1,0.552189539
1,0.6481948
0,0.398517406
0,0.214142704
1,0.410048152
0,0.265619436
1,0.44492879
1,0.584888209
0,0.364928868
0,0.196961386
0,0.101380084
1,0.35126992
1,0.535750936
0,0.339898663
1,0.48435397
0,0.305057913
1,0.465105142
0,0.295067808
1,0.460036951
1,0.592519085
0,0.368759665
1,0.498879857
0,0.312339933
0,0.168749968
1,0.386890984
1,0.553948692
1,0.649074986
1,0.698957621
1,0.724362836
1,0.737158223
0,0.443574473
0,0.236786309
1,0.421392969
0,0.271296447
0,0.147768216
0,0.076308107
0,0.038638853
0,0.019416386
1,0.309727585
1,0.514867671
0,0.329434611
1,0.479117461
0,0.302438761
0,0.163795387
0,0.084412895
0,0.042709488
1,0.321455352
1,0.520747798
1,0.632377923
0,0.390589766
0,0.210175044
0,0.108063554
0,0.054626984
1,0.327432533
0,0.223740075
1,0.423874799
1,0.574338352
0,0.359649366
1,0.494320721
1,0.610059568
0,0.377609626
1,0.503320781
0,0.314563584
0,0.169862431
1,0.387447343
0,0.254226897
0,0.139214094
1,0.372027176
1,0.546497614
1,0.645345612
1,0.697092167
1,0.723429956
0,0.436691752
0,0.233341231
